user_id,user_screenname,user_name,user_location,user_bio,user_createdat,user_followers_count,user_friends_count,user_favourites_count,user_laststatus_date,user_laststatus_text,user_statuses_count,is_friend,am_following,days_laststatus
2803077050,ovalle_elia,Ana[elia] Ovalle,"San Francisco, CA",Dominican Data scientist. Women in Tech Advocate.,09-11-2014,47,210,120,06-22-2019,"RT @jenheemstra: Academia has made me really good at coping productively with rejection and criticism. Once I got past my ego, I realized h…",102,1,0,8
9481072,nouralshakhouri,Nour S. Al-Shakhouri,Dammam,#Entrepreneur 🏭 #Industrial #Consultant @najimsystems #productivity 🤖 #AI 📱#IoT 📊 #analytics,10-16-2007,1264,2137,430,06-25-2019,RT @KAUST_NewsAR: احتلّت #كاوست المركز الأول من بين #الجامعات_السعودية، والمركز الثامن عشر عالمياً، في مؤشر نيتشر @NatureIndex للعام 2019 ل…,16091,1,0,5
606468379,wsgellman,Bill Gellman,"Boston, MA","Working hard to make a difference in #IoT & #AI for #publicsafety, #NationalSecurity,  #Military and commercial verticals as COO of @Blueforcedev.",06-12-2012,1448,1314,1538,06-24-2019,"“Smart Cities Council Winners Ready for the Future 
Readiness Challenge cities look to leverage AI, 5G and Wi-Fi to… https://t.co/X8NYXqH5fl",2606,1,0,6
7.66935E+17,Olivia_Qiqi,Olivia Zheng,Australia,CS undergraduate student in Australian National University,08-20-2016,22,368,297,06-25-2019,"RT @kdnuggets: Harvard CS109 #DataScience Course, Resources #Free and Online #KDN https://t.co/dcCokuzKUm",191,1,0,5
28414859,marcosalvi,Marco Salvi,Seattle,Computationally responsible deep learning and real-time graphics research @ NVIDIA,04-02-2009,3620,2811,3097,06-25-2019,@IngoWald What GPUs?,9337,1,0,5
2224448724,VijayAdityaB,VIJAY ADITYA.B,Amalapuram,"Programmer, loves Agriculture. Future Entrepreneur.",12-01-2013,24,171,989,06-25-2019,RT @dog_rates: This is Lucy. She was born with a portrait of herself on her ear. Always has a little friend wherever she goes. 13/10 for bo…,196,1,1,5
37617723,ShanteshMani,Shantesh Mani,"Brisbane, Queensland","AI Engineer, Data Scientist.",05-04-2009,39,279,240,06-20-2019,"Haha that’s a great answer!!
Not sure why everyone is focused on just the tool, there needs to be more emphasis on… https://t.co/ZIdtP8MOlX",60,1,0,10
2464966433,lukas_hein,Lukas Hein,"Frankfurt on the Main, Germany","Consulting banks in complex technology transformation with @Capco! Interested in #DataScience, #MachineLearning and #DeepLearning. All views are my own.",04-06-2014,112,810,76,07-20-2018,#NOW is the time to accept a new challenge and step up your #consulting #career Capco https://t.co/LuMMIa1XQ9… https://t.co/b4b69rS3fS,40,1,0,345
388598043,TessyTom,TessyTom,"Bagalore,India","Head of Mathematics  @MCC, Bagalore",10-11-2011,103,1571,32,06-08-2019,RT @tictoc: Teacher @petertabichi from rural Kenya who gave most of his earnings to the poor was just named the world's best teacher #Teach…,2,1,0,22
47791203,SwathiYoung,Swathi Young,Washington DC,#AI #Machinelearning #ethicsinAI crusader #speaker #womaninAI #entrepreneur Founder @technotchsolutions At the intersection of #innovation & #AI,06-17-2009,2371,4195,1738,06-25-2019,"@WomeninTechChat Don't just be heads down all the https://t.co/FtDgzn9V98 to business users, mentors, other people… https://t.co/Ss6szUPHl0",5493,1,0,5
32336519,popedaniels,Superlative Max !!,"London, Ontario",Maverick | #StartUp #AI #Bigdata #Finance #MachineLearning #VentureCapital #DataScience #Robotics #BlockChain #IOT #Innovation #Fintech #Cloud #Cybersecurity,04-17-2009,564,1498,2329,06-25-2019,RT @KirkDBorne: One of my all-time favorites &gt;&gt; The Most Complete List of the Best Cheat Sheets for #DataScientists covering #AI #NeuralNet…,14510,1,0,5
102480425,JorgeGarciaX,Jorge GX,,Cloud Solution Engineer for Data Applications & Belgian K8s Meetup coorganisor,01-06-2010,43,339,174,06-19-2019,Apparently if you have a problem with @proximus either you have to make yourself available on a Saturday either the… https://t.co/jlBJ8XSFGt,254,1,0,11
868637460,iamrobbies,"Rob Schmidt, MBA, PMP",United States,Data Scientist | Keynote Speaker | Author | Research Machine Learning @GTComputing | Financial Engineering @columbia. views mine. [he/his],10-08-2012,94346,94631,8286,06-24-2019,RT @GtScii: Georgia Smart Communities Challenge Announces Partner Cities https://t.co/7irRrMdVmF,93,1,0,6
3236416948,chiru_acn,Chiranjeevi,"Bengaluru, India",Chief Technologist #AI #ML #Analytics,05-05-2015,33,428,348,06-23-2019,RT @MikeQuindazzi: Scientists create an man-made eye that sees better than humans &gt;&gt;&gt; HT @Fisher85M via @MikeQuindazzi &gt;&gt;&gt; #IoT #BioTech #H…,239,1,0,7
4592005994,alleviate_hq,Alleviate,"Bengaluru, India","Alleviate: to make easier to endure; lessen; mitigate.
Automating Automation #SaaS
#NLProc #MachineLearning #DataScience",12-18-2015,49,266,99,06-22-2019,"RT @rctatman: Another entry in my ""newer/fancier models aren't necessary better"" and ""evaluating ML stuff is hard"" logbooks: I wrote a blog…",85,1,0,8
62548356,shubhamkalra27,Shubham Kalra,"Salt Lake City, UT","Data Scientist , Data Visualization, Startups, entrepreneurship, Web 2.0, Cyclist, Skeptic, Bearcat!",08-03-2009,307,501,52,05-28-2019,@threadbasedotio looking for a white-label product that does producthunt and hackernews in one place. I like what I… https://t.co/Rhskl29tu2,831,1,0,33
1.02723E+18,DibyarupaJ,Dibyarupa Jena,,"The Indian.                                                               
| Astro - - Meta-physics - - Occult- - Art - - Defence - - Instrument - - Tech | GEEK",08-08-2018,6,147,28,11-12-2018,"RT @WomenTechmakers: 3 days until #LetsTalkAI! Be sure to register for this online conference if you're looking to:

Explore preparing data…",1,1,0,230
249545360,indrango,Indra Nugraha,Indonesia,AI Engineer @nodefluxio. Knowledge Management @DataScienceIndo. Produced several podcasts https://t.co/XUUuzPeuPQ,02-09-2011,328,401,389,06-18-2019,"RT @RahelJhirad: #cvpr2019 Efros
Things we might regret in 5 years https://t.co/6KMtDijG5h",10746,1,0,12
305269372,GonzaloCaira,Gonzalo Caira Aguilar,"Arequipa, Peru","I'm study Computer Science , me specialize in c++ and like to create videogames",05-25-2011,17,266,253,06-23-2019,RT @DannyDutch: An illustration of time passing by. https://t.co/4cSQcWcXbR,118,1,0,7
600167742,moelaammari,Mohamed El Aammari💧,"Milan, Lombardy","an expert is a man who has made all the mistakes which can be made, in a narrow field. Niels Bohr. #DataScience #blockchain #AI",06-05-2012,273,2465,2278,06-23-2019,RT @ercwl: Facebook is very knowingly exploiting a very specific gap in regulations and technology made possible by the cryptocurrency indu…,1826,1,0,7
255615028,tiago_valverde,Tiago Valverde,,"Software Developer, Computer Science Student at @RyersonU, fitness, soccer and motorcycle enthusiast.",02-21-2011,129,326,518,03-19-2019,Setting up UDP sockets communication in Java for a Computer Networks project. #networks #udp #sockets #programming… https://t.co/XxYoT1NCy1,159,1,0,103
31367101,renato_umeton,Renato Umeton,"Boston, MA","#DataScience #MachineLearning  #Optimization #Biostatistics

- Trained @UnicalPortale @TUVienna @Microsoft @MIT @DanaFarber",04-15-2009,2858,2766,39,06-25-2019,"RT @MIT_CSAIL: Happy birthday Microsoft, which was incorporated #otd in 1982. If you bought one Microsoft share for $21 in 1986, it would b…",99704,1,0,5
7.18349E+17,smalia4,Dr. Osama Moh'd Alia,"Tabuk, Kingdom of Saudi Arabia","Assistant Professor of Computer Science,  Faculty of Computers and Information Technology, University of Tabuk, Saudi Arabia.",04-08-2016,40,165,53,06-25-2019,RT @Dr_Hmood: للعاملين في مجال #علم_البيانات ومهتمين بالـ #التعلم_العميق (Deep Learning)، هنا 20 مصدر بيانات متنوعة مابين صور ونصوص ومقاطع…,42,1,1,5
1.04626E+18,Sriramya_SAS,Sriramya K,"Minnesota, USA",Data science enthusiast & Digital marketing strategist #startup #women #entrepreneur,09-30-2018,48,193,53,06-25-2019,"RT @grepLeigh: Build your own low-cost COMPUTER VISION device using @Raspberry_Pi &amp; @TensorFlow. ✨👁️

If you're like me and NEED hands-on e…",31,1,1,5
59044451,samherniman,Sam Herniman,"Vancouver, British Columbia","I use data from satellites and aeroplanes to figure out how trees, birds, and other living things interact.",07-22-2009,235,1868,516,03-10-2019,RT @SteveStuWill: Amazing time-lapse footage of a day in the life of a pair of pot plants. Plants are so much more active than we usually i…,199,1,0,112
632178364,AIDAMIAN,Andrei Ionut DAMIAN,Bucharest,#Inventor #SerialEntrepreneur #Dreamer #DeepLearningResearcher #DataScientist,07-10-2012,125,154,27,06-23-2019,It always amazes me how everyone is a expert in AI. I guess these days all it takes is to see Terminator and Transf… https://t.co/GsMVx14RBh,70,1,0,7
1.04786E+18,mathieu_deviti,Mathieu DE VITI,"Paris, France","Applied Machine Learning Engineer/Data Scientist
@BNPParibas",10-04-2018,8,133,40,04-11-2019,@fmikaelian Google people and their food-related metaphors 😂,5,1,0,80
528020973,SorishaPragyan,"Pragyansmita Nayak (Paul), PhD 👩‍💻","Washington, DC","Chief Data Scientist, Hitachi Vantara Federal 
@HVFederal | Meetup Founder, @NoVADeepLearn | #MachineLearning #DeepLearning #Analytics
[Views are my own]",03-18-2012,3712,4996,6654,06-25-2019,"RT @dataandme: ⚡️ Reading in lots of data? Speed things up w/ bash ⇨ #rdatatable…
⏱ ""How data.table's fread() can save you a lot of time an…",23556,1,1,5
1.11269E+18,lukaspsn_,lukas,,Computer Science undergrad and DS aspirant,04-01-2019,24,559,74,06-21-2019,"@github isn't so much, but I'm keep growing... 💪 https://t.co/OBJQKYYgQL",15,1,0,9
9.48574E+17,RakendD,Rakend Dubba,India,Machine Learning Engineer,01-03-2018,25,188,1612,05-02-2019,Machine Learning Models Mindmap https://t.co/YGIhA7NnYf,101,1,0,59
3300235690,rudcharlie,paras jain,own world,"As an expert 👁️





































































  








Deep down too many faces 



Mushkil  toh mera peshaa hai 😁",05-27-2015,25,268,8574,06-24-2019,@kapilmanikoscar @_voice_of_india Srry bro u r wrong this time how can u replace that song yaaded hai wo,1987,1,1,6
2244597954,phyoe_minthant,Phyoe Min Thant,Myanmar,"Robotics, Automation & Control Engineer",12-13-2013,33,132,452,04-30-2019,Check out this free “Design Thinking” master bundle of 35 templates: https://t.co/VwPa75DodR #ux #design #uxdesign,133,1,0,61
4824719589,adamkelly2201,Adam Kelly,Ireland,"I like maths, physics, computer science and sometimes even heather",01-18-2016,1003,686,8056,06-25-2019,RT @vincentriemer: React context be like... https://t.co/YTpmrDwlIp,851,1,0,5
8.87715E+17,emekaboris,Data Knight🐎😉,Data Science 🇳🇬,"Created a course @Datacamp/@simpliv / Lead Instructor, Data School @gitgirlofficial🔥 Co- @Pydataph @PHCschooofai Created #100daysofdscode❤@ibmchamp 2019",07-19-2017,693,2732,12943,06-25-2019,@theadoranwodo @GdgAjah What about machine learning and Data Science,2874,1,0,5
1361435743,danielcorreia06,Daniel Correia,,"#Engineer at DeltaV Aerospace, PhD student, rock climber, mountaineer, coffee lover, Python and Machine Learning Enthusiast",04-18-2013,94,296,187,06-24-2019,@Nexperion @MendeleySupport +1 for @zotero,329,1,0,6
17413602,programmableweb,ProgrammableWeb,San Francisco,ProgrammableWeb is the world's leading source of news and information about web-based application programming interfaces or APIs. #API,11-15-2008,28631,4308,7881,06-25-2019,"50+ #APIs for tricking out a #smarthome https://t.co/Tq8Kjk4XrQ

#AI #IoT https://t.co/zL4HBf7bJk",51849,1,0,5
1945490600,cryptonewt,Crypto Newt,"Bangkok, Thailand",Bitcoin|Crypto|Blockchain| Publisher of Blogs|Entrepreneur|Entertainment|Science|Tech and more. I ❤️ All Shades of People. Optimist Lovable Cool.,10-08-2013,389,1802,636,05-30-2019,@DavidePaganell2 Good luck 😉,489,1,0,31
248230306,Heighn,Hein de Haan,,"Freelance Writer, Skeptic, #atheist, #Secularism and Science lover, Critic of religion. NO idea is above scrutiny. Ideas can and should be attacked.",02-06-2011,419,956,302,06-20-2019,"RT @pinkheretic: It's unbelievable that the religious act superior b/c they have faith. Faith isn't a virtue, it's glorification of volunta…",1990,1,0,10
9.30509E+17,HammackTony,Tony Hammack,"Birmingham, AL",Casual Tinkerer. Deep Thinker. Comic Reviewer for The Batman Universe.,11-14-2017,48,260,1268,06-25-2019,@TheFliteCast Um. Yeah. I’ll be watching that.,602,1,1,5
1.12445E+18,HsnZein102,Hassan Zein,Lebanon,"Passionate about #AI #ArtificialIntelligence, #MachineLearning engineer",05-03-2019,79,155,52,06-21-2019,"RT @AhmadMahmoud27: #scraping #webscraping #DataScience #Python
“Web Scraping using Scrapy in python” by Ahmad Mahmoud 
https://t.co/fmPjIJ…",45,1,0,9
3181071035,roman_jdlht,Roman de las Heras,Honduras,Data Scientist @ SAP / Agile Solutions,04-18-2015,95,528,3938,06-25-2019,@PlayHearthstone Could this minion belong to the mage class already? https://t.co/hheCVmth4o,339,1,1,5
114765111,anandaltekar,Anand Altekar,"New York, NY",Grad Student @NYU-Courant. Interested in Machine Learning. Musician.,02-16-2010,216,184,582,06-12-2019,RT @BillGates: I’m always amazed by the disconnect between what we see in the news and the reality of the world around us. As my late frien…,76,1,0,18
1.01478E+18,MarziaRigolli,Marzia Rigolli,"California, USA","Multi-Imaging cardiologist, CMR enthusiast, dyspnoea is a mess. DPhil survivor @UniofOxford Postdoc researcher @UCSDHealth",07-05-2018,115,113,81,06-25-2019,@DrWillWatson I think posters are a great way to interact with the first author who has done the work. Abstract are… https://t.co/lzwFXy32H9,104,1,0,5
260187861,Meijerink_D,Diederik Meijerink,"Amsterdam, The Netherlands","Intrigued by the datasphere,Web, travelling the world. Constant discovery keeps me going. Proud to be Analyst @ Datalab of the City of Amsterdam",03-03-2011,256,310,889,05-28-2019,Confronting once more . We have no clue what’s happening. A law obliging apps to publish tracker notices could be a… https://t.co/1DLRFT0F71,1109,1,0,33
2869189324,Engin_eerBzkrt,Engin Bozkurt,Turkey,Electronics & Communications Engineer  Cybersecurity | Virtual Reality and its application to HealthCare and Medicine | Data Science and Artificial Intelligence,11-09-2014,417,749,571,06-23-2019,"Turkey's democracy is reloading. The modern, secular and empathetic social fabric of Turkey rebirths.
Unifying beha… https://t.co/Nz5wbxv5ub",342,1,0,7
24370331,ravipal1214,Ravi Pal,Singapore,IOT & Data enthusiast | user experience technologist | reimagining tech applications | https://t.co/w0dDfsND1H(opinion/views are strictly personal),03-14-2009,909,2088,5197,06-23-2019,"RT @AghiathChbib: So you think your #antivirus will keep your data safe? Think again...

#Cybersecurity #Cyberattacks  
V/@cyberhubengage…",5503,1,0,7
1166864486,mgazzin,Marco Gazzin,Zurich (CH),"Senior infrastructure engineer. Passionate of #Analytics, #ML, #AI, #cplusplus, #GPUs and #NeuralNetworks enthusiast. Coding in #rlang, #Python, #C, #Bash,#GO",02-10-2013,480,2480,395,06-23-2019,RT @fchollet: You can play with it now: https://t.co/qkmMkmjLsT (but don't expect too much 🙂) https://t.co/yGqorcs4ND,350,1,1,7
1.13883E+18,Deran44525300,Deran,,studying machine learning.,06-12-2019,7,162,39,06-25-2019,@noobde No,30,1,0,5
79378269,BrianGardnerDev,Brian Gardner,"Savannah, GA","Husband to @you_carley
Developer, Instructor, & Author at @bignerdranch
Machine learning Master's degree student at @GeorgiaTech
He/Him",10-03-2009,450,560,1015,06-20-2019,Well turns out my phone wasn't connecting to our network extender. Hopefully I can get it fixed otherwise I'll need a land line 👻👻👻,1548,1,0,10
1.11216E+18,your_faiz,Faiz,,"Computer scientist | AI,Mobile Systems|I am back| 사람의 가장 친한 친구와 소울 메이트",03-31-2019,23,140,1506,06-25-2019,"@likeplastic_ Also the concerned university should help graduate students in this matter. As a matter of fact, fund… https://t.co/T6qj7saUvy",560,1,0,5
15232432,deanwampler,Dean Wampler,Chicago,"The person who's wrong on the Internet. Cat massage expert, data theologist, functional programmer. Lurks at Lightbend. O'Reilly author. Opinions are my own.",06-25-2008,8959,1027,9400,06-25-2019,Who is going to prison for this outrage? I would start with Trump and Pence. https://t.co/iAdHSHoCSA,19612,1,0,5
9.91716E+17,mlinterview,Cracking the Machine Learning Interview,,"Preparing for job in Machine Learning❓
You should definitely get our book!🔥❤️
The one and only resource you need to get that job!! 💯 
#ML #Job #AI #Interview",05-02-2018,138,564,164,06-22-2019,"Understanding mysteries of Quantum Physics using Machine Learning

https://t.co/H09qbDAPBd

#machinelearning… https://t.co/cZ4IP3XgUk",232,1,0,8
8.28106E+17,Hossein_MZF,Hossein Mehrzadfar,"Ankara, Turkey",MSc Neuroscience student at Bilkent University | joining Psych PhD program @UCSB on September 2019,02-05-2017,48,261,374,06-19-2019,"RT @cbvg_bilkent: Save the dates! Six Master's thesis dissertations in the first week of July, 2019:
July 1: Cemre Yilmaz, Batuhan Erkat, E…",123,1,0,11
401048959,qubole,Qubole,"Santa Clara, CA","Qubole delivers the world's first Big Data Activation Platform. Automate ETL, ML, and Analytics Workloads in the Cloud. Become a Data Driven Company with Qubole",10-29-2011,11112,4992,434,06-25-2019,A Data and Analytics Leader’s Guide to Data Literacy - https://t.co/nxzoAOIfbT @CDOTrends https://t.co/dHinx6uDkM,7897,1,0,5
1.07048E+18,Sid__Bansal,Siddhant Bansal,"Ahmadabad City, India","Primary Research Focused on 3D Computer Vision, Deep Learning, Machine Learning. Currently working with Dr. Shamuganathan Raman. @IiTGandhinagar",12-06-2018,16,204,99,12-19-2018,AI #NGC #MLPerf https://t.co/DPTfpNHJA7 @NVIDIAAIDev Using #NGC for deciding the best layout for our facility using… https://t.co/d2wVeYYrsH,1,1,0,193
544103123,baizalla,Om Prakash,"Hyderabad, India",#CropPhysiology Interested in #DataScience #MachineLearning #DeepLearning #ArtificialIntelligence #IOT  @ICRISAT 🇮🇳,04-03-2012,3133,1535,15311,06-24-2019,@gauleanil Kitne bar dekhoge..Kavi Netflix par haat daliya,7407,1,0,6
8.91664E+17,NaeemUjala,Ujala Naeem,"Lahore, Pakistan","student, graphics and textitle designer....and I am also a good sketcher",07-30-2017,332,2204,4370,06-24-2019,@media786786 😄😚,267,1,1,6
2187082543,tfqharbiodun,ibn Mas'ud,Nigeria,simple and easy going.... Islam| Truth| Geek World| A.I Expert| Ruby | Game engine |Industrial Computing| volley Ball| (FCB),11-10-2013,86,355,529,06-25-2019,"RT @omarsuleiman504: Dear Muslim activist, you do not need to relinquish a single part of your deen or compromise on your principles to do…",775,1,0,5
2923110319,anishmadan23,Anish Madan,,Studying Computer Science and Applied Maths at IIIT-Delhi | Following the Deep Learning hype shamelessly,12-08-2014,57,580,874,06-24-2019,RT @LtGovDelhi: MOU signed between @IIITDelhi and @DelhiPolice for setting up Centre for Technology in Policing. This collaboration will he…,94,1,0,6
1.13841E+18,Muhamma96205859,Khan Sahab,,Explorer of the realm of deep learning,06-11-2019,20,165,256,06-24-2019,"RT @karachikhatmal: It's kinda crazy how much fans hate cricketers being normal, fun, human beings. https://t.co/Q3W3y1OpVR",46,1,0,6
91073801,jun_miyazaki,jun miyazaki,"Tokyo, Japan","#AI, #deeplearning, #RPA, #system_architecture, #technology_marketing, #Research,#quantum_computing,#entrepreneur,#mentor,",11-19-2009,602,2553,58,05-15-2019,"@vj_chidambaram Yes, I agree",618,1,0,46
26007185,savinay1986,savinay,,You me and Deeplearning,03-23-2009,63,452,1877,06-25-2019,"RT @naval: A thread with all of my podcasts expounding on the ""How to Get Rich"" tweetstorm. I’ll add new episodes here. Here’s the original…",1785,1,0,5
7.90605E+17,lldfrancis,Lawrence Francis,Lagos,Certified Nerd. Programmer. не спеши = do not rush,10-24-2016,183,182,467,06-13-2019,@tejuafonja @kennydukor @DeepMindAI Attention is all you need,249,1,0,17
7.0439E+17,isarmadgulzar,Sarmad Gulzar,Pakistan,Electrical Engineer 👨‍🎓 Software Developer 👨‍💻 Artificial Intelligence Enthusiast 🤖,02-29-2016,422,123,1899,06-05-2019,"Hi @natfriedman, there's problem with rendering Jupyter notebook (.ipynb) files on Github. Older notebooks are rend… https://t.co/gooFGJxYI3",47,1,0,25
9.82981E+17,joelvzach,Joel V Zachariah,"Cochin, India","Serial-learner; A bit slow at it but optimistic. Currently focusing on academics, projects & my portfolio.

Joining the dots between opportunity and capability.",04-08-2018,306,898,1878,06-25-2019,RT @niran_jana: What are your thoughts on Django and Node.js? I’m confused on which to take up and it’d be great if you could tell your pre…,1058,1,0,5
8.10864E+17,_theBenefactor,Shwetanshu Singh,"Mumbai, India",Professional model (statistical) | Social Computing Researcher @precog_iiitd | Previously: #Data4Good @DataKindBLR @aksharadotorg; @ManipalUni grad | he/him,12-19-2016,49,344,996,06-21-2019,"@kaustubh0x77 @zacharylipton that ain't portable tho

@system76 has me attention rn",46,1,0,9
1.11289E+18,Shabnam_Behzad,Shabnam Behzad,"Washington, DC","CS Graduate Student @Georgetown, Undergrad at Sharif University of Technology. Interested in NLP, AI.",04-02-2019,22,178,116,06-19-2019,"RT @soldni: Excited to announce that QuickUMLS, a system for fast, unsupervised biomedical entity linking is **finally** pip installable! G…",3,1,0,11
1215094728,savelichic,Ivan Chelombiev,,"CompSci graduate from University of Bristol 🇬🇧. Trying to figure out why deep learning works. Technology, sustainability and architecture enthusiast.",02-24-2013,147,251,1169,06-17-2019,"RT @TheEconomist: Greenland is currently losing 3bn tonnes of ice every day, roughly three times the average for mid-June in 1981-2010 http…",355,1,0,13
1289473711,mcgannjamie,Jamie McGann,Dublin,Postdoc @dcu_shhp| #motorskills #physicalliteracy #seriousgames #edtech #ehealth | Primary Education | Athletics @trackcastic|,03-22-2013,559,1003,13830,06-25-2019,"RT @mikaelvaneeck: First impressions of #Dublin: the omnipresence of begging buttons for pedestrians. Even at crowded crossroads, like in t…",7650,1,0,5
71201377,jangsea,Jangsea Park,"Dar es Salaam, Tanzania",Data Analyst of @boxnwhiskr,09-03-2009,191,191,273,05-29-2019,"RT @badnetworker: 1999: there are millions of websites all hyperlinked together 
2019: there are four websites, each filled with screenshot…",533,1,0,32
155700939,alisoneder,Alison Eder❤️,"Los Angeles, CA",Came for the snark stayed to talk tech and politics. Hype girl for @ahirsch1. All kvetching is my own.,06-14-2010,199,710,1318,06-24-2019,"Excuse me, meowfficer. I’d like to report an attempted robbery that took place at 6 meow’clock this morning. https://t.co/bKATuxjeXw",1234,1,0,6
83235355,ss6012,Satyasheel,United Kingdom,"Machine Learning, Big data, Postgrad student (Machine Learning) at RHUL",10-17-2009,149,257,101,06-25-2019,"RT @BigData_LDN: Another global data expert confirmed to speak at #BigDataLDN in November: @Dsdinter, Cloud Customer Engineer at Google.…",476,1,0,5
1.04265E+18,Samake_A21,Awa Samaké,Kigali,Machine Learning/Machine Intelligence /Reinforcement Learning/Computer Vision Enthusiast!,09-20-2018,39,266,176,06-19-2019,"@jerofad Lol, I will check it!",33,1,0,11
9.51843E+17,dopplerganger12,Sharif amit,"Dhaka, Bangladesh",Computer Vision Enthusiast | CS PhD student @unevadareno |  Deep learning for Medical Image Analysis | Co-founder of https://t.co/ZRRUOUyAPC,01-12-2018,24,266,188,06-25-2019,"RT @DeepSpiker: Happy share our work: Shaping Belief States with Generative Environment Models for RL 
Thanks Karol Gregor, Frederic Besse,…",171,1,0,5
